;Method;nselected;tn;fn;fp;tp;data.i;sensitivity;specificity;false.pos.rate;false.neg.rate;false.disc.rate;false.omit.rate;expo;ICC
tot.553;Raw.Exwas.MLM.bon;3;496;1;1;2;11;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.554;Raw.ExWAS.bh;14;486;0;11;3;11;100;97,8;2,2;0;78,6;0;3;1
tot.555;Raw.ExWAS.MLM.bh;5;494;1;3;2;11;66,7;99,4;0,6;33,3;60;0,2;3;1
tot.556;Raw.ExWAS.by;11;489;0;8;3;11;100;98,4;1,6;0;72,7;0;3;1
tot.557;Raw.ExWAS.MLM.by;3;496;1;1;2;11;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.558;Raw.ENET.min;17;483;0;14;3;11;100;97,2;2,8;0;82,4;0;3;1
tot.559;Raw.ENET.opt;1;497;2;0;1;11;33,3;100;0;66,7;0;0,4;3;1
tot.560;Raw.sPLS;13;487;0;10;3;11;100;98;2;0;76,9;0;3;1
tot.561;Raw.sNPLS;6;494;0;3;3;11;100;99,4;0,6;0;50;0;3;1
tot.562;Raw.MMPC;10;490;0;7;3;11;100;98,6;1,4;0;70;0;3;1
tot.563;Raw.DSA;3;497;0;0;3;11;100;100;0;0;0;0;3;1
tot.564;Av.ExWAS.none;31;469;0;28;3;11;100;94,4;5,6;0;90,3;0;3;1
tot.565;Av.ExWAS.MLM.none;3;496;1;1;2;11;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.566;Av.Exwas.bon;6;493;1;4;2;11;66,7;99,2;0,8;33,3;66,7;0,2;3;1
tot.567;Av.Exwas.MLM.bon;2;497;1;0;2;11;66,7;100;0;33,3;0;0,2;3;1
tot.568;Av.ExWAS.bh;9;491;0;6;3;11;100;98,8;1,2;0;66,7;0;3;1
tot.569;Av.ExWAS.MLM.bh;3;496;1;1;2;11;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.570;Av.ExWAS.by;5;493;2;4;1;11;33,3;99,2;0,8;66,7;80;0,4;3;1
tot.571;Av.ExWAS.MLM.by;1;497;2;0;1;11;33,3;100;0;66,7;0;0,4;3;1
tot.572;Av.ENET.min;28;472;0;25;3;11;100;95;5;0;89,3;0;3;1
tot.573;Av.ENET.opt;0;497;3;0;0;11;0;100;0;100;0;0,6;3;1
tot.574;Av.sPLS;1;497;2;0;1;11;33,3;100;0;66,7;0;0,4;3;1
tot.575;Av.MMPC;3;497;0;0;3;11;100;100;0;0;0;0;3;1
tot.576;Av.DSA;3;496;1;1;2;11;66,7;99,8;0,2;33,3;33,3;0,2;3;1
tot.577;DLNMpen.none;29;471;0;26;3;11;100;94,8;5,2;0;89,7;0;3;1
tot.578;DLNMpen.bonf;5;495;0;2;3;11;100;99,6;0,4;0;40;0;3;1
tot.579;DLNMpen.bh;7;493;0;4;3;11;100;99,2;0,8;0;57,1;0;3;1
tot.580;DLNMpen.by;5;495;0;2;3;11;100;99,6;0,4;0;40;0;3;1
tot.581;DLNMselect.none;16;484;0;13;3;11;100;97,4;2,6;0;81,2;0;3;1
tot.582;DLNMselect.bonf;5;494;1;3;2;11;66,7;99,4;0,6;33,3;60;0,2;3;1
tot.583;DLNMselect.bh;6;494;0;3;3;11;100;99,4;0,6;0;50;0;3;1
tot.584;DLNMselect.by;5;494;1;3;2;11;66,7;99,4;0,6;33,3;60;0,2;3;1
tot.585;DLNMselectback.none;12;488;0;9;3;11;100;98,2;1,8;0;75;0;3;1
tot.586;DLNMselectback.bonf;4;495;1;2;2;11;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.587;DLNMselectback.bh;5;495;0;2;3;11;100;99,6;0,4;0;40;0;3;1
tot.588;DLNMselectback.by;4;495;1;2;2;11;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.589;DLNMselectforward.none;16;484;0;13;3;11;100;97,4;2,6;0;81,2;0;3;1
tot.590;DLNMselectforward.bonf;7;493;0;4;3;11;100;99,2;0,8;0;57,1;0;3;1
tot.591;DLNMselectforward.bh;16;484;0;13;3;11;100;97,4;2,6;0;81,2;0;3;1
tot.592;DLNMselectforward.by;7;493;0;4;3;11;100;99,2;0,8;0;57,1;0;3;1
tot.593;Av.DLNMpen.none;24;476;0;21;3;11;100;95,8;4,2;0;87,5;0;3;1
tot.594;Av.DLNMpen.bonf;7;493;0;4;3;11;100;99,2;0,8;0;57,1;0;3;1
tot.595;Av.DLNMpen.bh;24;476;0;21;3;11;100;95,8;4,2;0;87,5;0;3;1
tot.596;Av.DLNMpen.by;8;492;0;5;3;11;100;99;1;0;62,5;0;3;1
tot.597;Av.DLNMselect.none;14;486;0;11;3;11;100;97,8;2,2;0;78,6;0;3;1
tot.598;Av.DLNMselect.bonf;2;496;2;1;1;11;33,3;99,8;0,2;66,7;50;0,4;3;1
tot.599;Av.DLNMselect.bh;14;486;0;11;3;11;100;97,8;2,2;0;78,6;0;3;1
tot.600;Av.DLNMselect.by;6;494;0;3;3;11;100;99,4;0,6;0;50;0;3;1
tot.601;Av.DLNMselectback.none;14;486;0;11;3;11;100;97,8;2,2;0;78,6;0;3;1
tot.602;Av.DLNMselectback.bonf;11;489;0;8;3;11;100;98,4;1,6;0;72,7;0;3;1
tot.603;Av.DLNMselectback.bh;14;486;0;11;3;11;100;97,8;2,2;0;78,6;0;3;1
tot.604;Av.DLNMselectback.by;11;489;0;8;3;11;100;98,4;1,6;0;72,7;0;3;1
tot.605;Raw.ExWAS.none;34;466;0;31;3;12;100;93,8;6,2;0;91,2;0;3;1
tot.606;Raw.ExWAS.MLM.none;6;492;2;5;1;12;33,3;99;1;66,7;83,3;0,4;3;1
tot.607;Raw.Exwas.bon;1;497;2;0;1;12;33,3;100;0;66,7;0;0,4;3;1
tot.608;Raw.Exwas.MLM.bon;1;497;2;0;1;12;33,3;100;0;66,7;0;0,4;3;1
tot.609;Raw.ExWAS.bh;1;497;2;0;1;12;33,3;100;0;66,7;0;0,4;3;1
tot.610;Raw.ExWAS.MLM.bh;1;497;2;0;1;12;33,3;100;0;66,7;0;0,4;3;1
tot.611;Raw.ExWAS.by;1;497;2;0;1;12;33,3;100;0;66,7;0;0,4;3;1
tot.612;Raw.ExWAS.MLM.by;1;497;2;0;1;12;33,3;100;0;66,7;0;0,4;3;1
tot.613;Raw.ENET.min;24;476;0;21;3;12;100;95,8;4,2;0;87,5;0;3;1
tot.614;Raw.ENET.opt;1;497;2;0;1;12;33,3;100;0;66,7;0;0,4;3;1
tot.615;Raw.sPLS;1;497;2;0;1;12;33,3;100;0;66,7;0;0,4;3;1
tot.616;Raw.sNPLS;4;496;0;1;3;12;100;99,8;0,2;0;25;0;3;1
tot.617;Raw.MMPC;8;491;1;6;2;12;66,7;98,8;1,2;33,3;75;0,2;3;1
tot.618;Raw.DSA;6;494;0;3;3;12;100;99,4;0,6;0;50;0;3;1
tot.619;Av.ExWAS.none;11;489;0;8;3;12;100;98,4;1,6;0;72,7;0;3;1
tot.620;Av.ExWAS.MLM.none;2;497;1;0;2;12;66,7;100;0;33,3;0;0,2;3;1
tot.621;Av.Exwas.bon;3;495;2;2;1;12;33,3;99,6;0,4;66,7;66,7;0,4;3;1
tot.622;Av.Exwas.MLM.bon;1;497;2;0;1;12;33,3;100;0;66,7;0;0,4;3;1
tot.623;Av.ExWAS.bh;3;495;2;2;1;12;33,3;99,6;0,4;66,7;66,7;0,4;3;1
tot.624;Av.ExWAS.MLM.bh;1;497;2;0;1;12;33,3;100;0;66,7;0;0,4;3;1
tot.625;Av.ExWAS.by;0;497;3;0;0;12;0;100;0;100;0;0,6;3;1
tot.626;Av.ExWAS.MLM.by;0;497;3;0;0;12;0;100;0;100;0;0,6;3;1
tot.627;Av.ENET.min;15;485;0;12;3;12;100;97,6;2,4;0;80;0;3;1
tot.628;Av.ENET.opt;0;497;3;0;0;12;0;100;0;100;0;0,6;3;1
tot.629;Av.sPLS;2;497;1;0;2;12;66,7;100;0;33,3;0;0,2;3;1
tot.630;Av.MMPC;3;497;0;0;3;12;100;100;0;0;0;0;3;1
tot.631;Av.DSA;3;497;0;0;3;12;100;100;0;0;0;0;3;1
tot.632;DLNMpen.none;24;475;1;22;2;12;66,7;95,6;4,4;33,3;91,7;0,2;3;1
tot.633;DLNMpen.bonf;1;497;2;0;1;12;33,3;100;0;66,7;0;0,4;3;1
tot.634;DLNMpen.bh;1;497;2;0;1;12;33,3;100;0;66,7;0;0,4;3;1
tot.635;DLNMpen.by;0;497;3;0;0;12;0;100;0;100;0;0,6;3;1
tot.636;DLNMselect.none;22;477;1;20;2;12;66,7;96;4;33,3;90,9;0,2;3;1
tot.637;DLNMselect.bonf;4;495;1;2;2;12;66,7;99,6;0,4;33,3;50;0,2;3;1
tot.638;DLNMselect.bh;9;490;1;7;2;12;66,7;98,6;1,4;33,3;77,8;0,2;3;1
tot.639;DLNMselect.by;1;497;2;0;1;12;33,3;100;0;66,7;0;0,4;3;1
tot.640;DLNMselectback.none;14;485;1;12;2;12;66,7;97,6;2,4;33,3;85,7;0,2;3;1
