"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"21";"Av.EWAS_LM.bh";"58";"29";"11";"49.6044963748858";"45.6048021572069";"20.8166599946613";"61.789";"58.053";"59.568";"36.4203958148883";"43.8302175525866";"45.0488957252074";"58 (49.6)";"29 (45.6)";"11 (20.8)";"61.8 (36.4)";"58.1 (43.8)";"59.6 (45)"
"22";"Av.EWAS_LM.by";"40";"23";"7";"49.2365963917331";"42.2952584681651";"17.4367544009888";"51.553";"45.219";"27.668";"42.1988832611107";"45.3595550167011";"42.0429959816271";"40 (49.2)";"23 (42.3)";"7 (17.4)";"51.6 (42.2)";"45.2 (45.4)";"27.7 (42)"
"23";"Av.ENET_MIN";"81";"60";"47.5";"39.4277244403663";"49.2365963917331";"36.4975438498361";"89.493";"91.185";"87.527";"13.3677982971442";"17.7086942922214";"21.8637232636506";"81 (39.4)";"60 (49.2)";"47.5 (36.5)";"89.5 (13.4)";"91.2 (17.7)";"87.5 (21.9)"
"24";"Av.ENET_OPT";"17";"7";"3.5";"37.7525168068637";"25.6432399976243";"12.8216199988121";"34.418";"28.333";"27.333";"45.5006590694857";"44.8525081334209";"44.3504866678683";"17 (37.8)";"7 (25.6)";"3.5 (12.8)";"34.4 (45.5)";"28.3 (44.9)";"27.3 (44.4)"
"25";"Av.SPLS";"68";"46";"31";"46.8826172262151";"50.0908265962033";"33.166247903554";"69.084";"77.589";"72.275";"32.2754894023563";"33.1776634578937";"36.6283060355008";"68 (46.9)";"46 (50.1)";"31 (33.2)";"69.1 (32.3)";"77.6 (33.2)";"72.3 (36.6)"
"26";"Av.MMPC";"82";"58";"30.5";"38.6122919665369";"49.6044963748858";"33.2536927394249";"81.307";"88.188";"88.312";"9.85473536381922";"11.1656967466605";"13.5747483932261";"82 (38.6)";"58 (49.6)";"30.5 (33.3)";"81.3 (9.9)";"88.2 (11.2)";"88.3 (13.6)"
"27";"Av.DSA";"62";"34";"13.5";"48.7831731214563";"47.6095228569523";"25.4802359534292";"65.672";"60.873";"55.203";"33.6177504820704";"43.3304377937027";"45.632686882554";"62 (48.8)";"34 (47.6)";"13.5 (25.5)";"65.7 (33.6)";"60.9 (43.3)";"55.2 (45.6)"
"28";"Av.2step.EWAS.none";"89.011";"73.6";"51.2";"15.7369660354212";"21.6267697938729";"15.5231986706895";"74.093";"66.651";"60.239";"10.2157657420758";"15.1888748161876";"14.6016734546684";"89 (15.7)";"73.6 (21.6)";"51.2 (15.5)";"74.1 (10.2)";"66.7 (15.2)";"60.2 (14.6)"
"29";"Av.2step.EWAS.bon";"52.337";"23.8";"11.4";"27.3374263565168";"20.4386245559082";"12.1455815634803";"14.65";"12.95";"24.284";"24.1751667392117";"24.5436510747853";"32.8534539795109";"52.3 (27.3)";"23.8 (20.4)";"11.4 (12.1)";"14.7 (24.2)";"12.9 (24.5)";"24.3 (32.9)"
"30";"Av.2step.EWAS.bh";"61.673";"33.2";"18.4";"30.4846305206377";"26.8508788863549";"17.0986442843764";"26.467";"22.204";"26.531";"28.6161325376813";"29.1423982845918";"30.6930805053695";"61.7 (30.5)";"33.2 (26.9)";"18.4 (17.1)";"26.5 (28.6)";"22.2 (29.1)";"26.5 (30.7)"
"31";"Av.2step.EWAS.by";"43.336";"21.2";"8.2";"32.3191269008982";"23.4102627930659";"12.8220138981379";"11.814";"11.573";"12.994";"23.3364154674339";"24.4382249640586";"24.9017455880774";"43.3 (32.3)";"21.2 (23.4)";"8.2 (12.8)";"11.8 (23.3)";"11.6 (24.4)";"13 (24.9)"
"32";"Av.2step.EWAS_LM.none";"48.999";"31.6";"12.1";"29.0100208914301";"20.9241052811866";"9.45964314785967";"31.966";"31.482";"30.749";"30.6997983739636";"32.4329654593108";"37.3196254460618";"49 (29)";"31.6 (20.9)";"12.1 (9.5)";"32 (30.7)";"31.5 (32.4)";"30.7 (37.3)"
