"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"50";"DLNMselectback.bonf";"91.674";"71.4";"36.1";"15.2491537768196";"18.0358789442857";"14.4875425414005";"12.599";"11.858";"10.701";"16.818457243172";"15.314185541121";"16.4001631859336";"91.7 (15.2)";"71.4 (18)";"36.1 (14.5)";"12.6 (16.8)";"11.9 (15.3)";"10.7 (16.4)"
"51";"DLNMselectback.bh";"95.004";"82.8";"54.4";"12.8583810659182";"15.8324561160506";"17.4263239863365";"31.486";"31.591";"23.005";"23.5762079181106";"18.9081143128734";"17.0201269743273";"95 (12.9)";"82.8 (15.8)";"54.4 (17.4)";"31.5 (23.6)";"31.6 (18.9)";"23 (17)"
"52";"DLNMselectback.by";"91.674";"71.4";"37";"15.2491537768196";"18.0358789442857";"18.1742408453016";"10.916";"11.955";"10.599";"16.399949002138";"15.7733400893963";"16.6007757820427";"91.7 (15.2)";"71.4 (18)";"37 (18.2)";"10.9 (16.4)";"12 (15.8)";"10.6 (16.6)"
"53";"DLNMselectforward.none";"98.001";"93.2";"71.9";"9.25772944870688";"10.3357768371943";"15.3540702990274";"73.768";"64.088";"44.348";"5.80854264654807";"5.63763113802995";"11.516772836418";"98 (9.3)";"93.2 (10.3)";"71.9 (15.4)";"73.8 (5.8)";"64.1 (5.6)";"44.3 (11.5)"
"54";"DLNMpen.2step.none";"96.67";"90.4";"77.9";"10.0403277744395";"11.5400050767631";"11.8317327129165";"82.191";"74.948";"65.636";"5.46899608537236";"7.90566195261921";"7.08374893611419";"96.7 (10)";"90.4 (11.5)";"77.9 (11.8)";"82.2 (5.5)";"74.9 (7.9)";"65.6 (7.1)"
"55";"DLNMpen.2step.bonf";"91.675";"73";"44.2";"14.4919648583118";"17.6096851221426";"15.9658726948793";"39.219";"33.698";"24.975";"25.4381392456844";"22.5967101386664";"19.8533327991127";"91.7 (14.5)";"73 (17.6)";"44.2 (16)";"39.2 (25.4)";"33.7 (22.6)";"25 (19.9)"
"56";"DLNMpen.2step.bh";"95.338";"84";"61.9";"11.6128784310586";"15.3082799276547";"16.738934231065";"53.025";"47.131";"43.173";"25.610613231647";"22.2859003077114";"18.3212238519795";"95.3 (11.6)";"84 (15.3)";"61.9 (16.7)";"53 (25.6)";"47.1 (22.3)";"43.2 (18.3)"
"57";"DLNMpen.2step.by";"92.008";"74";"46";"14.2935153764979";"17.865942997556";"18.9096736506942";"39.491";"33.467";"27.206";"26.3166540771843";"23.4974275617609";"20.9856315443003";"92 (14.3)";"74 (17.9)";"46 (18.9)";"39.5 (26.3)";"33.5 (23.5)";"27.2 (21)"
"58";"DLNMselect.2step.none";"96.669";"89.6";"69.6";"11.1057605854718";"12.8644840353179";"14.8337589315859";"74.391";"64.713";"52.948";"6.90539380747859";"9.43752080738893";"10.4414527415267";"96.7 (11.1)";"89.6 (12.9)";"69.6 (14.8)";"74.4 (6.9)";"64.7 (9.4)";"52.9 (10.4)"
"59";"DLNMselect.2step.bonf";"91.674";"71.4";"36.2";"15.2491537768196";"18.0358789442857";"14.4095927644179";"13.432";"12.258";"10.94";"17.2456106551402";"15.5223083517129";"16.5286283628";"91.7 (15.2)";"71.4 (18)";"36.2 (14.4)";"13.4 (17.2)";"12.3 (15.5)";"10.9 (16.5)"
